hash,hash_type,source,first_seen,last_seen,confidence,threat_type,vt_malicious,vt_suspicious,vt_undetected,vt_harmless,vt_reputation,vt_times_submitted,vt_first_submission,vt_last_analysis,vt_popular_threat_classification,vt_suggested_threat_label,vt_tags,vt_names,vt_sha256,vt_md5,vt_enrichment_status,vt_last_updated
a1280c532700b9d280eaa78e18e36eefba7560b659374bff20f7841dd3350d2f,sha256,malwarebazaar,2025-10-12 10:37:36,,high,malware,14,0,47,0,-12,3,1760250014,1760251820,"{""popular_threat_category"": [{""count"": 11, ""value"": ""trojan""}, {""count"": 2, ""value"": ""downloader""}], ""suggested_threat_label"": ""trojan.""}",trojan.,javascript,_a1280c532700b9d280eaa78e18e36eefba7560b659374bff20f7841dd3350d2f.txt;a1280c532700b9d280eaa78e18e36eefba7560b659374bff20f7841dd3350d2f.js;invoice-1637482117.pdf .js,a1280c532700b9d280eaa78e18e36eefba7560b659374bff20f7841dd3350d2f,0d639d2e088f21085a204e9948b6c961,success,2025-10-12T10:37:54.408970
30e30db14957d33b80d95bd31d7571aee84fe4fbe526d82de06b3efabe907a80,sha256,malwarebazaar,2025-10-12 10:37:36,,high,malware,14,0,48,0,-12,1,1760249779,1760249779,"{""popular_threat_category"": [{""value"": ""trojan"", ""count"": 11}, {""value"": ""downloader"", ""count"": 2}], ""suggested_threat_label"": ""trojan.""}",trojan.,javascript,_30e30db14957d33b80d95bd31d7571aee84fe4fbe526d82de06b3efabe907a80.txt,30e30db14957d33b80d95bd31d7571aee84fe4fbe526d82de06b3efabe907a80,71ea40ea178553615d23bb887bdf06f6,success,2025-10-12T10:38:03.238272
9fe8e4d456ab65a6831b3687889fc2964616ce48f423ba2387e42cef2156400b,sha256,malwarebazaar,2025-10-12 10:37:36,,high,malware,14,0,47,0,-12,1,1760250080,1760250080,"{""suggested_threat_label"": ""trojan."", ""popular_threat_category"": [{""value"": ""trojan"", ""count"": 11}, {""value"": ""downloader"", ""count"": 2}]}",trojan.,javascript,invoice-1637482117.pdf (200).js,9fe8e4d456ab65a6831b3687889fc2964616ce48f423ba2387e42cef2156400b,0c277fc82e8357c07970d5105497fcc5,success,2025-10-12T10:38:11.973587
344e7b240476e7fdb59bc1cfabc892c77b29ec79b1218a6f6666c40ebbb6a583,sha256,malwarebazaar,2025-10-12 10:37:36,,high,malware,16,0,46,0,-12,2,1760250145,1760251584,"{""suggested_threat_label"": ""trojan."", ""popular_threat_category"": [{""value"": ""trojan"", ""count"": 11}, {""value"": ""downloader"", ""count"": 2}]}",trojan.,javascript,_344e7b240476e7fdb59bc1cfabc892c77b29ec79b1218a6f6666c40ebbb6a583.txt;invoice-1637482117.pdf (199).js,344e7b240476e7fdb59bc1cfabc892c77b29ec79b1218a6f6666c40ebbb6a583,6bbcd8e67399d197a887ffa80c1800b6,success,2025-10-12T10:38:20.661370
902fb169dc3341a24ad428a6846fed64f0428733a39432f2fb8ba604369199c8,sha256,malwarebazaar,2025-10-12 10:37:36,,high,malware,16,0,46,0,-12,1,1760249674,1760249674,"{""popular_threat_category"": [{""count"": 11, ""value"": ""trojan""}, {""count"": 2, ""value"": ""downloader""}], ""suggested_threat_label"": ""trojan.""}",trojan.,javascript,_902fb169dc3341a24ad428a6846fed64f0428733a39432f2fb8ba604369199c8.txt,902fb169dc3341a24ad428a6846fed64f0428733a39432f2fb8ba604369199c8,d0a37d9ae07fc1796e537029540775c4,success,2025-10-12T10:38:29.383550
a646fc613befa88d9c66cbc570e99d4cd0f3f75cf8602c8b5de1bd8da0c79649,sha256,malwarebazaar,2025-10-12 10:37:36,,high,malware,14,0,48,0,-12,2,1760250152,1760250989,"{""popular_threat_category"": [{""value"": ""trojan"", ""count"": 11}, {""value"": ""downloader"", ""count"": 2}], ""suggested_threat_label"": ""trojan.""}",trojan.,javascript,_a646fc613befa88d9c66cbc570e99d4cd0f3f75cf8602c8b5de1bd8da0c79649.txt;invoice-1637482117.pdf (197).js,a646fc613befa88d9c66cbc570e99d4cd0f3f75cf8602c8b5de1bd8da0c79649,f523e490aee528eeca7ef3b60f0ecad5,success,2025-10-12T10:38:38.172756
2ef83c83f6b9abd902c1c01a4d684871301910cdcaf4df9ec16f75fb08ab1a96,sha256,malwarebazaar,2025-10-12 10:37:36,,high,malware,4,0,32,0,-12,1,1760250155,1760250155,"{""popular_threat_category"": [{""count"": 3, ""value"": ""trojan""}], ""suggested_threat_label"": ""trojan.""}",trojan.,javascript,_2ef83c83f6b9abd902c1c01a4d684871301910cdcaf4df9ec16f75fb08ab1a96.txt,2ef83c83f6b9abd902c1c01a4d684871301910cdcaf4df9ec16f75fb08ab1a96,60e403fad7905b414a3847abec80c4d2,success,2025-10-12T10:38:46.893868
52c78072e391de25507011127fb444451866a838b0cd99c7256b9dbc649a5d48,sha256,malwarebazaar,2025-10-12 10:37:36,,high,malware,14,0,48,0,-12,2,1760250220,1760252299,"{""suggested_threat_label"": ""trojan."", ""popular_threat_category"": [{""value"": ""trojan"", ""count"": 11}, {""value"": ""downloader"", ""count"": 2}]}",trojan.,javascript,_52c78072e391de25507011127fb444451866a838b0cd99c7256b9dbc649a5d48.txt;invoice-1637482117.pdf (195).js,52c78072e391de25507011127fb444451866a838b0cd99c7256b9dbc649a5d48,6944781b5c2100160daf424dc2e48f65,success,2025-10-12T10:38:55.593208
ffe933c7a5942ba0c0faa8661731bd1699bb35f42d5ec7f06d510a397a92af93,sha256,malwarebazaar,2025-10-12 10:37:36,,high,malware,16,0,46,0,-12,2,1760250286,1760252419,"{""popular_threat_category"": [{""value"": ""trojan"", ""count"": 11}, {""value"": ""downloader"", ""count"": 2}], ""suggested_threat_label"": ""trojan.""}",trojan.,javascript,_ffe933c7a5942ba0c0faa8661731bd1699bb35f42d5ec7f06d510a397a92af93.txt;invoice-1637482117.pdf (194).js,ffe933c7a5942ba0c0faa8661731bd1699bb35f42d5ec7f06d510a397a92af93,f3785002519489d8dcd0fadd1065e386,success,2025-10-12T10:39:04.299933
59fced9c32952b2605861d91070b964e794ef904f5a269b9630082007f5a10b2,sha256,malwarebazaar,2025-10-12 10:37:36,,high,malware,8,0,46,0,-12,2,1760250321,1760251479,"{""popular_threat_category"": [{""value"": ""trojan"", ""count"": 6}], ""suggested_threat_label"": ""trojan.""}",trojan.,javascript,_59fced9c32952b2605861d91070b964e794ef904f5a269b9630082007f5a10b2.txt;invoice-1637482117.pdf (193).js,59fced9c32952b2605861d91070b964e794ef904f5a269b9630082007f5a10b2,7698a56bedb8349ac8a54eeb285028e9,success,2025-10-12T10:39:13.034538
