hash,"first_seen","hash_type",source,"vt_enrichment_status","vt_file_size","vt_file_type","vt_first_submission","vt_harmless","vt_last_analysis","vt_last_updated","vt_malicious","vt_md5","vt_names","vt_reputation","vt_sha1","vt_sha256","vt_suggested_threat_label","vt_suspicious","vt_tags","vt_times_submitted","vt_undetected"
00000000000000000000000000000001,"2025-10-13 18:09:46",,,,,Executable,,,,,22,,,,,,trojan,,"family:emotet;packer:upx",,
00000000000000000000000000000002,"2025-10-13 18:09:46",,,,,Executable,,,,,22,,,,,,trojan,,"family:emotet;packer:upx",,
00000000000000000000000000000003,"2025-10-13 18:09:46",,,,,Executable,,,,,22,,,,,,trojan,,"family:emotet;packer:upx",,
00000000000000000000000000000004,"2025-10-13 18:09:46",,,,,Executable,,,,,22,,,,,,trojan,,"family:emotet;packer:upx",,
00000000000000000000000000000005,"2025-10-13 18:09:46",,,,,Executable,,,,,22,,,,,,trojan,,"family:emotet;packer:upx",,
00000000000000000000000000000006,"2025-10-13 18:09:46",,,,,Executable,,,,,22,,,,,,trojan,,"family:emotet;packer:upx",,
00000000000000000000000000000007,"2025-10-13 18:09:46",,,,,Executable,,,,,22,,,,,,trojan,,"family:emotet;packer:upx",,
00000000000000000000000000000008,"2025-10-13 18:09:46",,,,,Executable,,,,,22,,,,,,trojan,,"family:emotet;packer:upx",,
00000000000000000000000000000009,"2025-10-13 18:09:46",,,,,Executable,,,,,22,,,,,,trojan,,"family:emotet;packer:upx",,
0000000000000000000000000000000a,"2025-10-13 18:09:46",,,,,Executable,,,,,22,,,,,,trojan,,"family:emotet;packer:upx",,
0000000000000000000000000000000b,"2025-10-13 18:09:46",,,,,Executable,,,,,22,,,,,,trojan,,"family:emotet;packer:upx",,
0000000000000000000000000000000c,"2025-10-13 18:09:46",,,,,Executable,,,,,22,,,,,,trojan,,"family:emotet;packer:upx",,
0000000000000000000000000000000d,"2025-10-13 18:09:46",,,,,Executable,,,,,22,,,,,,trojan,,"family:emotet;packer:upx",,
0000000000000000000000000000000e,"2025-10-13 18:09:46",,,,,Executable,,,,,22,,,,,,trojan,,"family:emotet;packer:upx",,
0000000000000000000000000000000f,"2025-10-13 18:09:46",,,,,Executable,,,,,22,,,,,,trojan,,"family:emotet;packer:upx",,
00000000000000000000000000000010,"2025-10-13 18:09:46",,,,,Executable,,,,,22,,,,,,trojan,,"family:emotet;packer:upx",,
00000000000000000000000000000011,"2025-10-13 18:09:46",,,,,Executable,,,,,22,,,,,,trojan,,"family:emotet;packer:upx",,
00000000000000000000000000000012,"2025-10-13 18:09:46",,,,,Executable,,,,,22,,,,,,trojan,,"family:emotet;packer:upx",,
00000000000000000000000000000013,"2025-10-13 18:09:47",,,,,Executable,,,,,22,,,,,,trojan,,"family:emotet;packer:upx",,
00000000000000000000000000000014,"2025-10-13 18:09:47",,,,,Executable,,,,,22,,,,,,trojan,,"family:emotet;packer:upx",,
06462689e9024266067ee7dc2c0406bf6e9f39daa4fbac39389914fede1e3fd7,"2025-10-13 15:09:18",sha256,malwarebazaar,success,140930,ELF,1760354028,0,1760354028,"2025-10-13T15:09:18.580679",31,a5eaca5513a0f94c9d490ded19be499d,"jeho0a4.exe;rsyslogd.elf","-11",f3422dd69833671959798bbdee7b0c8d68d38527,06462689e9024266067ee7dc2c0406bf6e9f39daa4fbac39389914fede1e3fd7,"trojan.gafgyt/ddos",0,"elf;spreader",1,33
0c96862353590cd3f0c1a9fad4ed0789c1bdfd2b8c05a2be63a3935c1e71d729,"2025-10-13 15:11:48",sha256,malwarebazaar,success,136336,ELF,1760354110,0,1760354110,"2025-10-13T15:11:48.383773",34,13d87df2b3a5d950dc79e0eaef9f95eb,,0,9f0b54cc146c74c372abb4e4987fa998e509ec2a,0c96862353590cd3f0c1a9fad4ed0789c1bdfd2b8c05a2be63a3935c1e71d729,"trojan.gafgyt/ddos",0,"64bits;elf;sets-process-name;detect-debug-environment;service-scan;checks-cpu-name",1,31
0d690abd14eaca90bbb04308b01ee29a04524a499813b2e871a91dd6f025720e,"2025-10-13 15:09:45",sha256,malwarebazaar,success,2447,"Shell script",1760302356,0,1760302356,"2025-10-13T15:09:45.449577",29,a31b78eb232b0b21e12dfb23e4a702e1,62952,"-11",b8d6eb4391a3308825494d442cbf3a2f0d42d6ac,0d690abd14eaca90bbb04308b01ee29a04524a499813b2e871a91dd6f025720e,"downloader.medusa/shell",0,"shell;sets-process-name;self-delete;detect-debug-environment;cve-1999-0009;exploit",1,33
1bfa5f6361f7f78705df33f80dc08cb10a62423cdb1f4c07f536da18e20ade75,"2025-10-13 15:11:22",sha256,malwarebazaar,success,138177,ELF,1760351027,0,1760351027,"2025-10-13T15:11:22.111250",31,c224efebdc7bdfa6184f65884a7420a6,"vumim2.exe;katrina.elf","-11",35b1fc25dc38a3b9d576b625bc354b59791c4f49,1bfa5f6361f7f78705df33f80dc08cb10a62423cdb1f4c07f536da18e20ade75,"trojan.gafgyt/ddos",0,"elf;corrupted",1,31
1cec26b63cffcd588d02bd9a224c9491e9f784ea4379444d46a8d6290047f3b0,"2025-10-13 15:13:07",sha256,malwarebazaar,"http_error_22",,,,,,"2025-10-13T15:13:07.279302",,,,,,,,,,,
32ba502496ad2c91dff293fbf55aafcd28a45bd8227e8e67fd8b589051c4fd32,"2025-10-13 15:11:13",sha256,malwarebazaar,success,190366,ELF,1760351195,0,1760351195,"2025-10-13T15:11:13.416783",32,701f0fda4564862ff18ffe3a37ef57cf,"32ba502496ad2c91dff293fbf55aafcd28a45bd8227e8e67fd8b589051c4fd32.elf;2i3wlxe.exe;sshd.elf","-11",d829322a3d4e56b2a25b7c0e01ab586ad66392bd,32ba502496ad2c91dff293fbf55aafcd28a45bd8227e8e67fd8b589051c4fd32,"trojan.gafgyt/ddos",0,"elf;spreader",1,32
358fecd96d23e8f3d7d7f6a2485bb8ff8e9b71376de551184789e97e7d74bc14,"2025-10-13 15:10:29",sha256,malwarebazaar,success,114280,ELF,1760352521,0,1760352521,"2025-10-13T15:10:29.302110",27,0fa2219a5d919c6b0b958bfb057b8400,"ox94n.exe;nwfaiehg4ewijfgriehgirehaughrarg.mips.elf","-11",0653f13b7a05b36d5a4d553a6c92a3451e3b779a,358fecd96d23e8f3d7d7f6a2485bb8ff8e9b71376de551184789e97e7d74bc14,"trojan.mirai",0,elf,1,37
3f7b29762d7a7245cfe3836fdb0599f9744ac9d34bd184b5a459f0c3f5b3200c,"2025-10-13 15:12:32",sha256,malwarebazaar,"http_error_22",,,,,,"2025-10-13T15:12:32.391524",,,,,,,,,,,
42d1042134ebd097d95bb4bc184251d0159b6d361e4d11b31ed324c6fc8cddba,"2025-10-13 15:13:24",sha256,malwarebazaar,"http_error_22",,,,,,"2025-10-13T15:13:24.988085",,,,,,,,,,,
