################################################################
# ThreatFox IOCs: recent SHA256 hashes - CSV format            #
# Last updated: 2025-10-04 00:38:19 UTC                        #
#                                                              #
# Terms Of Use: https://threatfox.abuse.ch/faq/#tos            #
# For questions please contact threatfox [at] abuse.ch         #
################################################################
#
# "first_seen_utc","ioc_id","ioc_value","ioc_type","threat_type","fk_malware","malware_alias","malware_printable","last_seen_utc","confidence_level","reference","tags","anonymous","reporter"
"2025-10-04 00:38:19", "1607102", "7d1f1a4202066fc4c5b3940f5a3716115b0eaee3e4f0c7d0b1b6d52a7dc9f191", "sha256_hash", "payload", "win.rhadamanthys", "None", "Rhadamanthys", "", "95", "None", "None", "0", "Grim"
"2025-10-04 00:38:18", "1607099", "a3f73a0db96757a49aeaed8efa37b8685804b4def03a31485e21091b59b9bd41", "sha256_hash", "payload", "win.luca_stealer", "None", "Luca Stealer", "", "95", "None", "None", "0", "Grim"
"2025-10-04 00:38:15", "1607096", "05e274ec9eb3e295c5bf0661f578346555d8951b04a3afedf6197cab72dcf1c2", "sha256_hash", "payload", "win.supper", "SocksShell,ZAPCAT", "Supper", "", "95", "None", "None", "0", "Grim"
"2025-10-04 00:38:14", "1607090", "864871d4967db39a0c2117d47bae57456526d891db9f1a3ad1cc6fc1ac85e7b1", "sha256_hash", "payload", "win.stealc", "None", "Stealc", "", "95", "None", "None", "0", "Grim"
"2025-10-04 00:38:14", "1607093", "c43d4a837aebd7d6c3d0f185770200010aa856d91968e6d39b38248505375a10", "sha256_hash", "payload", "win.vidar", "None", "Vidar", "", "95", "None", "None", "0", "Grim"
"2025-10-04 00:38:13", "1607087", "942c8369d6fb52e184622d28061bfd09e9b303127038517724e57414bb20d0ee", "sha256_hash", "payload", "win.strelastealer", "None", "StrelaStealer", "", "95", "None", "None", "0", "Grim"
"2025-10-04 00:38:12", "1607084", "90423a4fcf200e6bb908d2efd3c11c373a72a0f1f582332a9e911eeb01b941f6", "sha256_hash", "payload", "win.vidar", "None", "Vidar", "", "95", "None", "None", "0", "Grim"
"2025-10-04 00:38:11", "1607081", "e7a90443585c21b46479d7b00af903cd4b886fa214e0c0d0b0bfc72a34848749", "sha256_hash", "payload", "win.gcleaner", "None", "GCleaner", "", "95", "None", "None", "0", "Grim"
"2025-10-04 00:38:10", "1607078", "fb7ac76835a087e27d1bc40090085f88000c7b8c38debd584c2671f6abb2f059", "sha256_hash", "payload", "win.asyncrat", "None", "AsyncRAT", "", "95", "None", "None", "0", "Grim"
"2025-10-04 00:38:09", "1607075", "9b0d3d68ca37e152eb3148e9fb2faa822d19e48d5424c3ef6e1a67b0a86602f9", "sha256_hash", "payload", "win.xworm", "None", "XWorm", "", "95", "None", "None", "0", "Grim"
"2025-10-04 00:38:08", "1607072", "37d76cb5bb08886c0547e8178cd321ea50cee60967a2cc86b1d497d1571ee9a3", "sha256_hash", "payload", "win.krakenkeylogger", "None", "KrakenKeylogger", "", "95", "None", "None", "0", "Grim"
"2025-10-04 00:38:07", "1607069", "7b0a2e00bf3fd70be17903b9e31da9bc400dcbc45d634181cec4d5729fb55834", "sha256_hash", "payload", "win.rhadamanthys", "None", "Rhadamanthys", "", "95", "None", "None", "0", "Grim"
"2025-10-04 00:38:06", "1607066", "38b3e72b281ef95654f393e99e4055f16e7e9f00024b0a5775b3c21a9420f9a3", "sha256_hash", "payload", "win.rhadamanthys", "None", "Rhadamanthys", "", "95", "None", "None", "0", "Grim"
